"sites","Bloc","Coupe","Exclos","Analogue","Diam_bas","Diam_api","Longueur","Classe"
"BCTSEA1","B","totale","sans",1,"17,3","7,3","372",2
"BCTSEA1","B","totale","sans",1,"9,8","8,4","154",4
"BCTSEA1","B","totale","sans",1,"15,6","10,7","305",2
"BCTSEA1","B","totale","sans",1,"20","16,5","233",3
"BCTSEA1","B","totale","sans",1,"9,1","6,1","365",3
"BCTSEA1","B","totale","sans",1,"11,9","7","323",3
"BCTSEA2","B","totale","sans",2,"10,2","8,5","371",2
"BCTSEA2","B","totale","sans",2,"15,7","14,3","162",3
"BCTSEA2","B","totale","sans",2,"9,1","7,9","231",4
"BCTSEA2","B","totale","sans",2,"13,5","11,2","112",3
"BCTSEA2","B","totale","sans",2,"31,2","21,9","130",3
"BCTSEA2","B","totale","sans",2,"9,4","8,9","156",2
"BCTSEA2","B","totale","sans",2,"10,2","2,5","430",2
"BCTSEA2","B","totale","sans",2,"9,3","2,6","448",2
"BCTSEA3","B","totale","sans",3,"19,1","8","341",2
"BCTSEA3","B","totale","sans",3,"9,1","7,8","213",3
"BCTSEA3","B","totale","sans",3,"20,5","16,9","132",3
"BCTSEA3","B","totale","sans",3,"9","7,9","239",3
"BCTSEA3","B","totale","sans",3,"26,3","20,3","112",3
"BCTSEA3","B","totale","sans",3,"14,4","13,3","216",2
"BCTSEA3","B","totale","sans",3,"12,5","11,3","126",4
"BCTSEA3","B","totale","sans",3,"14,7","11,2","119",4
"BCTSEA3","B","totale","sans",3,"11,6","9,1","135",2
"BCTSEA3","B","totale","sans",3,"13,4","11,3","340",3
"BCTSEA3","B","totale","sans",3,"9,4","7,6","168",3
"BCTSEA3","B","totale","sans",3,"13,3","9","176",3
"BCTSEA3","B","totale","sans",3,"10,8","8,1","221",3
"BCTSEA3","B","totale","sans",3,"11,7","4,2","316",2
"BCTSEA3","B","totale","sans",3,"9,2","8,1","186",2
"CCTAEA3","C","totale","avec",3,"13,3","7,6","161",2
"CCTAEA3","C","totale","avec",3,"10,2","5,2","202",2
"CCTAEA3","C","totale","avec",3,"11,9","7,7","181",2
"CCTAEA3","C","totale","avec",3,"15,3","14,9","106",3
"CCTAEA3","C","totale","avec",3,"11,1","7,3","141",3
"CCTAEA3","C","totale","avec",3,"9,2","5,8","144",2
"CCTAEA3","C","totale","avec",3,"11,8","9,5","206",2
"CCTAEA3","C","totale","avec",3,"9,8","2,5","153",3
"CCTAEA3","C","totale","avec",3,"15,3","12,2","116",3
"CCTAEA3","C","totale","avec",3,"9,4","7,3","135",3
"CCTAEA1","C","totale","avec",1,"19,6","15,8","131",3
