"","X1","X2","X3","X4"
"AT1",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"AT2",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"AT3",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"ACPSEA2",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"ACPSEA3",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"BCPSEA2",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"BCPSEA3",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"BT1",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"BT2",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"BT3",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"ACPAEA3",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"ACPSEA1",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"BCPAEA3",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"BCPSEA1",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"CCPAEA3",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"CCPSEA1",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"CCPSEA2",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"CCPSEA3",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"CT1",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"CT2",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"CT3",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"ACPAEA1",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"ACPAEA2",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"BCPAEA1",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"BCPAEA2",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"CCPAEA1",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"CCPAEA2",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"DCPAEA1",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"DCPAEA2",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"DCPAEA3",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"DCPSEA1",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"DCPSEA2",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"DCPSEA3",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"DT1",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"DT2",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"DT3",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"ACTAEA1",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"ACTAEA2",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"ACTAEA3",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"ACTSEA1",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"ACTSEA2",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"ACTSEA3",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"BCTSEA2",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"BCTSEA3",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"CCTSEA2",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"CCTSEA3",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"DCTSEA2",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"DCTSEA3",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"BCTAEA2",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"BCTAEA3",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"BCTSEA1",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"BCTAEA1",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"CCTSEA1",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"DCTAEA3",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"DCTSEA1",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"CCTAEA3",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"DCTAEA1",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"DCTAEA2",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"CCTAEA1",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
"CCTAEA2",-1.30360893167057,-0.454747301745546,0.363797841396437,1.39455839201967
