"","X1","X2","X3","X4"
"ACTAEA1",1.26949319389955,1.26949319389955,1.26949319389955,1.26949319389955
"ACTAEA2",1.12350727779934,1.12350727779934,1.12350727779934,1.12350727779934
"ACTAEA3",0.479171501496239,0.479171501496239,0.479171501496239,0.479171501496239
"ACTSEA1",0.553520910344888,0.553520910344888,0.553520910344888,0.553520910344888
"ACTSEA2",-0.204347754783242,-0.204347754783242,-0.204347754783242,-0.204347754783242
"ACTSEA3",0.0938910564867269,0.0938910564867269,0.0938910564867269,0.0938910564867269
"ACPAEA1",-0.266289156280939,-0.266289156280939,-0.266289156280939,-0.266289156280939
"ACPAEA2",-0.334695157883694,-0.334695157883694,-0.334695157883694,-0.334695157883694
"ACPAEA3",-0.836477326418663,-0.836477326418663,-0.836477326418663,-0.836477326418663
"ACPSEA1",0.085449708359496,0.085449708359496,0.085449708359496,0.085449708359496
"ACPSEA2",-0.926541050859588,-0.926541050859588,-0.926541050859588,-0.926541050859588
"ACPSEA3",-0.662516966577418,-0.662516966577418,-0.662516966577418,-0.662516966577418
"AT1",0.996600526572167,0.996600526572167,0.996600526572167,0.996600526572167
"AT2",-0.388734446902625,-0.388734446902625,-0.388734446902625,-0.388734446902625
"AT3",0.308860458038715,0.308860458038715,0.308860458038715,0.308860458038715
"BCTAEA1",-0.352116402573652,-0.352116402573652,-0.352116402573652,-0.352116402573652
"BCTAEA2",1.59979026056969,1.59979026056969,1.59979026056969,1.59979026056969
"BCTAEA3",1.28735581332978,1.28735581332978,1.28735581332978,1.28735581332978
"BCTSEA1",-0.59029683411377,-0.59029683411377,-0.59029683411377,-0.59029683411377
"BCTSEA2",0.0854517463528303,0.0854517463528303,0.0854517463528303,0.0854517463528303
"BCTSEA3",-0.605327193073515,-0.605327193073515,-0.605327193073515,-0.605327193073515
"BCPAEA1",-0.513823480869877,-0.513823480869877,-0.513823480869877,-0.513823480869877
"BCPAEA2",-0.723584427620104,-0.723584427620104,-0.723584427620104,-0.723584427620104
"BCPAEA3",-0.931276821738921,-0.931276821738921,-0.931276821738921,-0.931276821738921
"BCPSEA1",-0.83709019752675,-0.83709019752675,-0.83709019752675,-0.83709019752675
"BCPSEA2",-0.881420706028809,-0.881420706028809,-0.881420706028809,-0.881420706028809
"BCPSEA3",-0.649036149355007,-0.649036149355007,-0.649036149355007,-0.649036149355007
"BT1",-0.952776175993476,-0.952776175993476,-0.952776175993476,-0.952776175993476
"BT2",-0.746240436684122,-0.746240436684122,-0.746240436684122,-0.746240436684122
"BT3",0.331305612594634,0.331305612594634,0.331305612594634,0.331305612594634
"CCTAEA1",-0.162252233773485,-0.162252233773485,-0.162252233773485,-0.162252233773485
"CCTAEA2",-0.305454902095119,-0.305454902095119,-0.305454902095119,-0.305454902095119
"CCTAEA3",-0.379623753464114,-0.379623753464114,-0.379623753464114,-0.379623753464114
"CCTSEA1",-0.220114449436108,-0.220114449436108,-0.220114449436108,-0.220114449436108
"CCTSEA2",-0.225170488125922,-0.225170488125922,-0.225170488125922,-0.225170488125922
"CCTSEA3",0.102209526268049,0.102209526268049,0.102209526268049,0.102209526268049
"CCPAEA1",-0.930479700397929,-0.930479700397929,-0.930479700397929,-0.930479700397929
"CCPAEA2",-1.07655597303893,-1.07655597303893,-1.07655597303893,-1.07655597303893
"CCPAEA3",-0.950937760195823,-0.950937760195823,-0.950937760195823,-0.950937760195823
"CCPSEA1",-0.967078871384289,-0.967078871384289,-0.967078871384289,-0.967078871384289
"CCPSEA2",-0.716124597756841,-0.716124597756841,-0.716124597756841,-0.716124597756841
"CCPSEA3",-0.966569244494324,-0.966569244494324,-0.966569244494324,-0.966569244494324
"CT1",-0.386155349504722,-0.386155349504722,-0.386155349504722,-0.386155349504722
"CT2",-0.638607876297387,-0.638607876297387,-0.638607876297387,-0.638607876297387
"CT3",0.615773067611896,0.615773067611896,0.615773067611896,0.615773067611896
"DCTAEA1",0.785546668765249,0.785546668765249,0.785546668765249,0.785546668765249
"DCTAEA2",2.27140572212148,2.27140572212148,2.27140572212148,2.27140572212148
"DCTAEA3",-0.089357116030151,-0.089357116030151,-0.089357116030151,-0.089357116030151
"DCTSEA1",1.12143886678594,1.12143886678594,1.12143886678594,1.12143886678594
"DCTSEA2",1.00728037461032,1.00728037461032,1.00728037461032,1.00728037461032
"DCTSEA3",0.440303579842073,0.440303579842073,0.440303579842073,0.440303579842073
"DCPAEA1",1.65068849713997,1.65068849713997,1.65068849713997,1.65068849713997
"DCPAEA2",-0.111702118966437,-0.111702118966437,-0.111702118966437,-0.111702118966437
"DCPAEA3",1.59374306048128,1.59374306048128,1.59374306048128,1.59374306048128
"DCPSEA1",-0.483927170025327,-0.483927170025327,-0.483927170025327,-0.483927170025327
"DCPSEA2",-0.158328199269241,-0.158328199269241,-0.158328199269241,-0.158328199269241
"DCPSEA3",-0.529190258104051,-0.529190258104051,-0.529190258104051,-0.529190258104051
"DT1",-0.876523449350795,-0.876523449350795,-0.876523449350795,-0.876523449350795
"DT2",4.47000430278551,4.47000430278551,4.47000430278551,4.47000430278551
"DT3",-0.696047535260681,-0.696047535260681,-0.696047535260681,-0.696047535260681
