"","X1","X2","X3","X4"
"AT1",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"AT2",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"AT3",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"ACPSEA2",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"ACPSEA3",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"BCPSEA2",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"BCPSEA3",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"BT1",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"BT2",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"BT3",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"ACPAEA3",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"ACPSEA1",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"BCPAEA3",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"BCPSEA1",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"CCPAEA3",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"CCPSEA1",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"CCPSEA2",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"CCPSEA3",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"CT1",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"CT2",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"CT3",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"ACPAEA1",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"ACPAEA2",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"BCPAEA1",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"BCPAEA2",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"CCPAEA1",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"CCPAEA2",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"DCPAEA1",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"DCPAEA2",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"DCPAEA3",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"DCPSEA1",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"DCPSEA2",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"DCPSEA3",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"DT1",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"DT2",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"DT3",-1.79830962976831,1.28180503855936,0.669411994853998,0.729724242751478
"ACTAEA1",-0.901148072963647,0.304526706721467,-0.400405278410255,-0.326920824942325
"ACTAEA2",-0.901148072963647,0.304526706721467,-0.400405278410255,-0.326920824942325
"ACTAEA3",-0.901148072963647,0.304526706721467,-0.400405278410255,-0.326920824942325
"ACTSEA1",-0.901148072963647,0.304526706721467,-0.400405278410255,-0.326920824942325
"ACTSEA2",-0.901148072963647,0.304526706721467,-0.400405278410255,-0.326920824942325
"ACTSEA3",-0.901148072963647,0.304526706721467,-0.400405278410255,-0.326920824942325
"BCTSEA2",-0.901148072963647,0.304526706721467,-0.400405278410255,-0.326920824942325
"BCTSEA3",-0.901148072963647,0.304526706721467,-0.400405278410255,-0.326920824942325
"CCTSEA2",-0.901148072963647,0.304526706721467,-0.400405278410255,-0.326920824942325
"CCTSEA3",-0.901148072963647,0.304526706721467,-0.400405278410255,-0.326920824942325
"DCTSEA2",-0.901148072963647,0.304526706721467,-0.400405278410255,-0.326920824942325
"DCTSEA3",-0.901148072963647,0.304526706721467,-0.400405278410255,-0.326920824942325
"BCTAEA2",-0.901148072963647,0.304526706721467,-0.400405278410255,-0.326920824942325
"BCTAEA3",-0.901148072963647,0.304526706721467,-0.400405278410255,-0.326920824942325
"BCTSEA1",-0.901148072963647,0.304526706721467,-0.400405278410255,-0.326920824942325
"BCTAEA1",-0.901148072963647,0.304526706721467,-0.400405278410255,-0.326920824942325
"CCTSEA1",-0.901148072963647,0.304526706721467,-0.400405278410255,-0.326920824942325
"DCTAEA3",-0.901148072963647,0.304526706721467,-0.400405278410255,-0.326920824942325
"DCTSEA1",-0.901148072963647,0.304526706721467,-0.400405278410255,-0.326920824942325
"CCTAEA3",-0.901148072963647,0.304526706721467,-0.400405278410255,-0.326920824942325
"DCTAEA1",-0.901148072963647,0.304526706721467,-0.400405278410255,-0.326920824942325
"DCTAEA2",-0.901148072963647,0.304526706721467,-0.400405278410255,-0.326920824942325
"CCTAEA1",-0.901148072963647,0.304526706721467,-0.400405278410255,-0.326920824942325
"CCTAEA2",-0.901148072963647,0.304526706721467,-0.400405278410255,-0.326920824942325
