"site","ID","day","month","ext","order","family","Bloc","Coupe","Exclos","Analogue","ord.fam"
"ACPSEA2","col199",16,"juin",6,"Entomobryomorpha","Entomobryidae","A","partielle","sans","2","Entomobryomorpha Entomobryidae"
"ACPSEA2","col205",16,"juin",6,"Entomobryomorpha","Isotomidae","A","partielle","sans","2","Entomobryomorpha Isotomidae"
"ACPSEA2","col201",16,"juin",6,"Poduromorpha","Onychiuridae","A","partielle","sans","2","Poduromorpha Onychiuridae"
"ACPSEA2","col203",16,"juin",6,"Entomobryomorpha","Isotomidae","A","partielle","sans","2","Entomobryomorpha Isotomidae"
"ACPSEA2","col208",16,"juin",6,"Entomobryomorpha","Isotomidae","A","partielle","sans","2","Entomobryomorpha Isotomidae"
"ACPSEA2","col200",16,"juin",6,"Entomobryomorpha","Isotomidae","A","partielle","sans","2","Entomobryomorpha Isotomidae"
"ACPSEA2","col202",16,"juin",6,"Entomobryomorpha","Isotomidae","A","partielle","sans","2","Entomobryomorpha Isotomidae"
"ACPSEA2","col207",16,"juin",6,"Symphypleona","Sminthurididae","A","partielle","sans","2","Symphypleona Sminthurididae"
"ACPSEA2","col198",16,"juin",6,"Entomobryomorpha","Isotomidae","A","partielle","sans","2","Entomobryomorpha Isotomidae"
"ACPSEA2","col194",16,"juin",6,"Entomobryomorpha","Isotomidae","A","partielle","sans","2","Entomobryomorpha Isotomidae"
"ACPSEA2","col193",16,"juin",6,"Entomobryomorpha","Tomoceridae","A","partielle","sans","2","Entomobryomorpha Tomoceridae"
"ACPSEA2","col195",16,"juin",6,"Entomobryomorpha","Isotomidae","A","partielle","sans","2","Entomobryomorpha Isotomidae"
"ACPSEA2","col204",16,"juin",6,"Entomobryomorpha","Tomoceridae","A","partielle","sans","2","Entomobryomorpha Tomoceridae"
"ACPSEA2","col206",16,"juin",6,"Poduromorpha","Hypogastruridae","A","partielle","sans","2","Poduromorpha Hypogastruridae"
"ACPSEA2","col196",16,"juin",6,"Entomobryomorpha","Isotomidae","A","partielle","sans","2","Entomobryomorpha Isotomidae"
"ACPSEA2","col197",16,"juin",6,"Entomobryomorpha","Isotomidae","A","partielle","sans","2","Entomobryomorpha Isotomidae"
"ACPSEA3","col004",20,"mai",3,"Entomobryomorpha","Isotomidae","A","partielle","sans","3","Entomobryomorpha Isotomidae"
"ACPSEA3","col008",20,"mai",3,"Symphypleona","Sminthuridae","A","partielle","sans","3","Symphypleona Sminthuridae"
"ACPSEA3","col005",20,"mai",3,"Entomobryomorpha","Entomobryidae","A","partielle","sans","3","Entomobryomorpha Entomobryidae"
"ACPSEA3","col218",16,"juin",6,"Entomobryomorpha","Entomobryidae","A","partielle","sans","3","Entomobryomorpha Entomobryidae"
"ACPSEA3","col006",20,"mai",3,"Poduromorpha","Hypogastruridae","A","partielle","sans","3","Poduromorpha Hypogastruridae"
"ACPSEA3","col007",20,"mai",3,"Entomobryomorpha","Isotomidae","A","partielle","sans","3","Entomobryomorpha Isotomidae"
"ACPSEA3","col476",14,"aout",3,"Entomobryomorpha","Isotomidae","A","partielle","sans","3","Entomobryomorpha Isotomidae"
"ACPSEA3","col355",11,"juillet",3,"Entomobryomorpha","Tomoceridae","A","partielle","sans","3","Entomobryomorpha Tomoceridae"
"ACPSEA3","col219",16,"juin",6,"Entomobryomorpha","Entomobryidae","A","partielle","sans","3","Entomobryomorpha Entomobryidae"
"ACTAEA1","col046",20,"mai",3,"Symphypleona","Sminthuridae","A","totale","avec","1","Symphypleona Sminthuridae"
"ACTAEA2","col477",14,"aout",3,"Poduromorpha","Hypogastruridae","A","totale","avec","2","Poduromorpha Hypogastruridae"
"ACTAEA3","col021",20,"mai",3,"Symphypleona","Dicyrtomidae","A","totale","avec","3","Symphypleona Dicyrtomidae"
"ACTAEA3","col369",11,"juillet",3,"Symphypleona","Katiannidae","A","totale","avec","3","Symphypleona Katiannidae"
"ACTSEA1","col358",11,"juillet",3,"Poduromorpha","Hypogastruridae","A","totale","sans","1","Poduromorpha Hypogastruridae"
"ACTSEA1","col062",20,"mai",3,"Poduromorpha","Hypogastruridae","A","totale","sans","1","Poduromorpha Hypogastruridae"
"ACTSEA1","col389",11,"juillet",6,"Entomobryomorpha","Entomobryidae","A","totale","sans","1","Entomobryomorpha Entomobryidae"
"ACTSEA1","col357",11,"juillet",3,"Entomobryomorpha","Tomoceridae","A","totale","sans","1","Entomobryomorpha Tomoceridae"
"ACTSEA1","col478",14,"aout",6,"Symphypleona","Sminthurididae","A","totale","sans","1","Symphypleona Sminthurididae"
"ACTSEA1","col397",11,"juillet",6,"Poduromorpha","Hypogastruridae","A","totale","sans","1","Poduromorpha Hypogastruridae"
"ACTSEA1","col395",11,"juillet",6,"Poduromorpha","Tullbergidae","A","totale","sans","1","Poduromorpha Tullbergidae"
