"ID","V1","V2","V3","V4"
"ACTAEA1",0.160640684859158,0.160640684859158,0.160640684859158,0.160640684859158
"ACTAEA2",0.151050155637614,0.151050155637614,0.151050155637614,0.151050155637614
"ACTAEA3",0.108720585387295,0.108720585387295,0.108720585387295,0.108720585387295
"ACTSEA1",0.113604961888916,0.113604961888916,0.113604961888916,0.113604961888916
"ACTSEA2",0.0638168605900588,0.0638168605900588,0.0638168605900588,0.0638168605900588
"ACTSEA3",0.0834096275561525,0.0834096275561525,0.0834096275561525,0.0834096275561525
"ACPAEA1",0.0597476268108272,0.0597476268108272,0.0597476268108272,0.0597476268108272
"ACPAEA2",0.0552537018156937,0.0552537018156937,0.0552537018156937,0.0552537018156937
"ACPAEA3",0.0222891756563287,0.0222891756563287,0.0222891756563287,0.0222891756563287
"ACPSEA1",0.0828550740893108,0.0828550740893108,0.0828550740893108,0.0828550740893108
"ACPSEA2",0.0163724488642809,0.0163724488642809,0.0163724488642809,0.0163724488642809
"ACPSEA3",0.0337174829822389,0.0337174829822389,0.0337174829822389,0.0337174829822389
"AT1",0.14271303012189,0.14271303012189,0.14271303012189,0.14271303012189
"AT2",0.0517035964747665,0.0517035964747665,0.0517035964747665,0.0517035964747665
"AT3",0.0975320195128321,0.0975320195128321,0.0975320195128321,0.0975320195128321
"BCTAEA1",0.0541092149998558,0.0541092149998558,0.0541092149998558,0.0541092149998558
"BCTAEA2",0.182339515501942,0.182339515501942,0.182339515501942,0.182339515501942
"BCTAEA3",0.161814167741584,0.161814167741584,0.161814167741584,0.161814167741584
"BCTSEA1",0.038461976898357,0.038461976898357,0.038461976898357,0.038461976898357
"BCTSEA2",0.082855207975066,0.082855207975066,0.082855207975066,0.082855207975066
"BCTSEA3",0.0374745590661137,0.0374745590661137,0.0374745590661137,0.0374745590661137
"BCPAEA1",0.0434858857009812,0.0434858857009812,0.0434858857009812,0.0434858857009812
"BCPAEA2",0.0297056626281895,0.0297056626281895,0.0297056626281895,0.0297056626281895
"BCPAEA3",0.016061332900371,0.016061332900371,0.016061332900371,0.016061332900371
"BCPSEA1",0.0222489131541082,0.0222489131541082,0.0222489131541082,0.0222489131541082
"BCPSEA2",0.0193366251159727,0.0193366251159727,0.0193366251159727,0.0193366251159727
"BCPSEA3",0.0346031038349592,0.0346031038349592,0.0346031038349592,0.0346031038349592
"BT1",0.0146489351107028,0.0146489351107028,0.0146489351107028,0.0146489351107028
"BT2",0.0282172785239114,0.0282172785239114,0.0282172785239114,0.0282172785239114
"BT3",0.0990065515526411,0.0990065515526411,0.0990065515526411,0.0990065515526411
"CCTAEA1",0.0665823213627477,0.0665823213627477,0.0665823213627477,0.0665823213627477
"CCTAEA2",0.0571746373078082,0.0571746373078082,0.0571746373078082,0.0571746373078082
"CCTAEA3",0.0523021225105972,0.0523021225105972,0.0523021225105972,0.0523021225105972
"CCTSEA1",0.0627810692628209,0.0627810692628209,0.0627810692628209,0.0627810692628209
"CCTSEA2",0.0624489133391863,0.0624489133391863,0.0624489133391863,0.0624489133391863
"CCTSEA3",0.0839561085431371,0.0839561085431371,0.0839561085431371,0.0839561085431371
"CCPAEA1",0.0161136997020333,0.0161136997020333,0.0161136997020333,0.0161136997020333
"CCPAEA2",0.00651723451715874,0.00651723451715874,0.00651723451715874,0.00651723451715874
"CCPAEA3",0.0147697096408748,0.0147697096408748,0.0147697096408748,0.0147697096408748
"CCPSEA1",0.0137093210591783,0.0137093210591783,0.0137093210591783,0.0137093210591783
"CCPSEA2",0.0301957353571386,0.0301957353571386,0.0301957353571386,0.0301957353571386
"CCPSEA3",0.0137428009434771,0.0137428009434771,0.0137428009434771,0.0137428009434771
"CT1",0.0518730300038394,0.0518730300038394,0.0518730300038394,0.0518730300038394
"CT2",0.0352881881236428,0.0352881881236428,0.0352881881236428,0.0352881881236428
"CT3",0.11769461073534,0.11769461073534,0.11769461073534,0.11769461073534
"DCTAEA1",0.128847869394828,0.128847869394828,0.128847869394828,0.128847869394828
"DCTAEA2",0.226461221771413,0.226461221771413,0.226461221771413,0.226461221771413
"DCTAEA3",0.071371158364979,0.071371158364979,0.071371158364979,0.071371158364979
"DCTSEA1",0.150914271596221,0.150914271596221,0.150914271596221,0.150914271596221
"DCTSEA2",0.143414641602146,0.143414641602146,0.143414641602146,0.143414641602146
"DCTSEA3",0.106167161410772,0.106167161410772,0.106167161410772,0.106167161410772
"DCPAEA1",0.185683269736544,0.185683269736544,0.185683269736544,0.185683269736544
"DCPAEA2",0.0699032057751632,0.0699032057751632,0.0699032057751632,0.0699032057751632
"DCPAEA3",0.181942245335712,0.181942245335712,0.181942245335712,0.181942245335712
"DCPSEA1",0.0454499206601768,0.0454499206601768,0.0454499206601768,0.0454499206601768
"DCPSEA2",0.0668401103918857,0.0668401103918857,0.0668401103918857,0.0668401103918857
"DCPSEA3",0.0424763669060028,0.0424763669060028,0.0424763669060028,0.0424763669060028
"DT1",0.0196583498722407,0.0196583498722407,0.0196583498722407,0.0196583498722407
"DT2",0.37089792154065,0.37089792154065,0.37089792154065,0.37089792154065
"DT3",0.0315146958411076,0.0315146958411076,0.0315146958411076,0.0315146958411076
